SETTLEMENTDATE,DUID,SCADAVALUE
2019/08/19 22:10:00,BUTLERSG,9.699999
2019/08/19 22:10:00,CALL_A_4,0.0
2019/08/19 22:10:00,CAPTL_WF,129.488007
2019/08/19 22:10:00,CATHROCK,43.469997
2019/08/19 22:10:00,CHALLHWF,17.700001
2019/08/19 22:10:00,CLOVER,-0.01
2019/08/19 22:10:00,CLUNY,12.163424000000001
2019/08/19 22:10:00,CNUNDAWF,39.045547
2019/08/19 22:10:00,CULLRGWF,28.73
2019/08/19 22:10:00,ERGT01,0.0
2019/08/19 22:10:00,GB01,0.06539199999999999
2019/08/19 22:10:00,GERMCRK,37.299999
2019/08/19 22:10:00,GRIFSF1,0.0
2019/08/19 22:10:00,LKBONNY1,64.8386
2019/08/19 22:10:00,MLSP1,0.304001
2019/08/19 22:10:00,MLWF1,15.914999
2019/08/19 22:10:00,MTMILLAR,19.429264
2019/08/19 22:10:00,PALOONA,23.639999
2019/08/19 22:10:00,PORTWF,136.5
2019/08/19 22:10:00,REPULSE,28.986649
2019/08/19 22:10:00,ROWALLAN,9.9471
2019/08/19 22:10:00,ROYALLA1,0.0
2019/08/19 22:10:00,RPCG,-2.1
2019/08/19 22:10:00,RUBICON,0.0
2019/08/19 22:10:00,SATGN1,0.0
2019/08/19 22:10:00,SATGS1,0.0
2019/08/19 22:10:00,STARHLWF,11.096765
2019/08/19 22:10:00,WAUBRAWF,87.625
2019/08/19 22:10:00,WOOLNTH1,131.320023
2019/08/19 22:10:00,WPWF,21.0
2019/08/19 22:10:00,YAMBUKWF,11.2
2019/08/19 22:10:00,YSWF1,28.200001
2019/08/19 22:10:00,AGLHAL,0.0
2019/08/19 22:10:00,AGLSOM,10.1
2019/08/19 22:10:00,ANGAST1,0.0
2019/08/19 22:10:00,ARWF1,9.9
2019/08/19 22:10:00,BALBG1,0.0
2019/08/19 22:10:00,BALBL1,0.0
2019/08/19 22:10:00,BALDHWF1,102.465
2019/08/19 22:10:00,BANN1,0.0
2019/08/19 22:10:00,BARCALDN,0.0
2019/08/19 22:10:00,BARRON-1,0.0
2019/08/19 22:10:00,BARRON-2,27.92
2019/08/19 22:10:00,BASTYAN,80.92000999999999
2019/08/19 22:10:00,BBTHREE1,0.0
2019/08/19 22:10:00,BBTHREE2,0.0
2019/08/19 22:10:00,BBTHREE3,0.0
2019/08/19 22:10:00,BDL01,-0.06
2019/08/19 22:10:00,BDL02,-0.12
2019/08/19 22:10:00,BERYLSF1,0.0
2019/08/19 22:10:00,BLOWERNG,0.0
2019/08/19 22:10:00,BLUFF1,21.8
2019/08/19 22:10:00,BNGSF1,0.0
2019/08/19 22:10:00,BNGSF2,0.0
2019/08/19 22:10:00,BOCORWF1,108.1
2019/08/19 22:10:00,BODWF1,84.09134
2019/08/19 22:10:00,BRAEMAR1,0.0
2019/08/19 22:10:00,BRAEMAR2,0.0
2019/08/19 22:10:00,BRAEMAR3,0.0
2019/08/19 22:10:00,BRAEMAR5,0.0
2019/08/19 22:10:00,BRAEMAR6,0.0
2019/08/19 22:10:00,BRAEMAR7,0.0
2019/08/19 22:10:00,BROKENH1,0.0
2019/08/19 22:10:00,BW01,658.82507
2019/08/19 22:10:00,BW02,652.70007
2019/08/19 22:10:00,BW03,640.69995
2019/08/19 22:10:00,BW04,0.0
2019/08/19 22:10:00,CALL_B_1,340.39999
2019/08/19 22:10:00,CALL_B_2,280.20001
2019/08/19 22:10:00,CETHANA,80.88062
2019/08/19 22:10:00,CG1,0.0
2019/08/19 22:10:00,CG2,0.0
2019/08/19 22:10:00,CG3,0.0
2019/08/19 22:10:00,CG4,0.0
2019/08/19 22:10:00,CHILDSF1,0.0
2019/08/19 22:10:00,CLARESF1,0.0
2019/08/19 22:10:00,CLEMGPWF,6.55519
2019/08/19 22:10:00,CLERMSF1,0.0
2019/08/19 22:10:00,COLEASF1,0.0
2019/08/19 22:10:00,COOPGWF1,35.88277
2019/08/19 22:10:00,CPP_3,407.0
2019/08/19 22:10:00,CPP_4,406.17502
2019/08/19 22:10:00,CPSA,143.19562
2019/08/19 22:10:00,CROOKWF2,67.07375
2019/08/19 22:10:00,CROWLWF1,22.85773
2019/08/19 22:10:00,CSPVPS1,0.0
2019/08/19 22:10:00,DALNTH01,0.0
2019/08/19 22:10:00,DALNTHL1,0.07172
2019/08/19 22:10:00,DARTM1,134.60001
2019/08/19 22:10:00,DAYDSF1,0.0
2019/08/19 22:10:00,DDPS1,0.0
2019/08/19 22:10:00,DDSF1,0.0
2019/08/19 22:10:00,DEVILS_G,60.424209999999995
2019/08/19 22:10:00,DG_NSW1,0.0
2019/08/19 22:10:00,DG_QLD1,0.0
2019/08/19 22:10:00,DG_SA1,0.0
2019/08/19 22:10:00,DG_TAS1,0.0
2019/08/19 22:10:00,DG_VIC1,0.0
2019/08/19 22:10:00,DRYCGT1,0.0
2019/08/19 22:10:00,DRYCGT2,0.0
2019/08/19 22:10:00,DRYCGT3,0.0
2019/08/19 22:10:00,EILDON1,0.0
2019/08/19 22:10:00,EILDON2,0.0
2019/08/19 22:10:00,EMERASF1,0.0
2019/08/19 22:10:00,ER01,593.375
2019/08/19 22:10:00,ER02,692.57495
2019/08/19 22:10:00,ER03,691.47498
2019/08/19 22:10:00,ER04,692.375
2019/08/19 22:10:00,FINLYSF1,0.0
2019/08/19 22:10:00,FISHER,45.94
2019/08/19 22:10:00,GANNBG1,1.25301
2019/08/19 22:10:00,GANNBL1,0.0
2019/08/19 22:10:00,GANNSF1,0.0
2019/08/19 22:10:00,GORDON,24.60752
2019/08/19 22:10:00,GSTONE1,207.89999
2019/08/19 22:10:00,GSTONE2,217.175
2019/08/19 22:10:00,GSTONE3,227.325
2019/08/19 22:10:00,GSTONE4,228.89999
2019/08/19 22:10:00,GSTONE5,229.59999
2019/08/19 22:10:00,GSTONE6,0.0
2019/08/19 22:10:00,GULLRSF1,0.0
2019/08/19 22:10:00,GULLRWF1,156.21674
2019/08/19 22:10:00,GUNNING1,43.05238
2019/08/19 22:10:00,GUTHEGA,0.0
2019/08/19 22:10:00,HALLWF1,60.17
2019/08/19 22:10:00,HALLWF2,51.79
2019/08/19 22:10:00,HAMISF1,0.0
2019/08/19 22:10:00,HAUGHT11,0.0
2019/08/19 22:10:00,HAYMSF1,0.0
2019/08/19 22:10:00,HDWF1,39.9
2019/08/19 22:10:00,HDWF2,28.6
2019/08/19 22:10:00,HDWF3,36.5
2019/08/19 22:10:00,HPRG1,2.4
2019/08/19 22:10:00,HPRL1,0.0
2019/08/19 22:10:00,HUMENSW,0.0
2019/08/19 22:10:00,HUMEV,9.0
2019/08/19 22:10:00,HVGTS,0.0
2019/08/19 22:10:00,JBUTTERS,134.7
2019/08/19 22:10:00,JLA01,0.5
2019/08/19 22:10:00,JLA02,0.0
2019/08/19 22:10:00,JLA03,0.1
2019/08/19 22:10:00,JLA04,0.1
2019/08/19 22:10:00,JLB01,0.0
2019/08/19 22:10:00,JLB02,0.1
2019/08/19 22:10:00,JLB03,0.0
2019/08/19 22:10:00,KAREEYA1,21.5725
2019/08/19 22:10:00,KAREEYA2,21.6675
2019/08/19 22:10:00,KAREEYA3,0.0
2019/08/19 22:10:00,KAREEYA4,21.695
2019/08/19 22:10:00,KARSF1,0.0
2019/08/19 22:10:00,KIATAWF1,29.4
2019/08/19 22:10:00,KPP_1,0.0
2019/08/19 22:10:00,KSP1,0.0
2019/08/19 22:10:00,LADBROK1,23.39
2019/08/19 22:10:00,LADBROK2,24.28
2019/08/19 22:10:00,LD01,419.34375
2019/08/19 22:10:00,LD02,420.07498
2019/08/19 22:10:00,LD03,418.85623
2019/08/19 22:10:00,LD04,381.88129
2019/08/19 22:10:00,LEM_WIL,78.59355
2019/08/19 22:10:00,LGAPWF1,5.3
2019/08/19 22:10:00,LILYSF1,0.0
2019/08/19 22:10:00,LI_WY_CA,142.01109
2019/08/19 22:10:00,LKBONNY2,140.66687
2019/08/19 22:10:00,LKBONNY3,35.16787
2019/08/19 22:10:00,LK_ECHO,0.0
2019/08/19 22:10:00,LNGS1,0.0
2019/08/19 22:10:00,LNGS2,0.0
2019/08/19 22:10:00,LONSDALE,0.0
2019/08/19 22:10:00,LOYYB1,534.96075
2019/08/19 22:10:00,LOYYB2,581.9544099999999
2019/08/19 22:10:00,LYA1,560.0
2019/08/19 22:10:00,LYA2,0.0
2019/08/19 22:10:00,LYA3,561.0
2019/08/19 22:10:00,LYA4,540.0
2019/08/19 22:10:00,MACARTH1,186.39569
2019/08/19 22:10:00,MACKAYGT,0.0
2019/08/19 22:10:00,MACKNTSH,85.25001
2019/08/19 22:10:00,MANSLR1,0.0
2019/08/19 22:10:00,MCKAY1,0.02
2019/08/19 22:10:00,MEADOWBK,34.06736
2019/08/19 22:10:00,MERCER01,122.684
2019/08/19 22:10:00,MEWF1,131.51846
2019/08/19 22:10:00,MINTARO,0.0
2019/08/19 22:10:00,MOREESF1,0.0
2019/08/19 22:10:00,MORTLK11,124.0
